_unit_id;_golden;_unit_state;_trusted_judgments;_last_judgment_at;sentiment;sentiment:confidence;date;id;query;sentiment_gold;text
623495521;TRUE;golden;15;;3;0.7997;Mon Dec 01 20:36:47 +0000 2014;5.40E+17;#AAPL OR @Apple;1;Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL
623495522;FALSE;finalized;3;12/12/2014 00:52;3;0.636;Mon Dec 01 20:45:03 +0000 2014;5.40E+17;#AAPL OR @Apple;;#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd
623495523;TRUE;golden;12;;1;1;Mon Dec 01 20:46:01 +0000 2014;5.40E+17;#AAPL OR @Apple;1;WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
623495524;TRUE;golden;9;;3;0.6658;Mon Dec 01 20:47:12 +0000 2014;5.40E+17;#AAPL OR @Apple;5;Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch
623495525;TRUE;golden;11;;3;0.8381;Mon Dec 01 21:00:15 +0000 2014;5.40E+17;#AAPL OR @Apple;3;The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz
623495526;FALSE;finalized;3;12/12/2014 21:38;5;1;Mon Dec 01 21:03:32 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
623495527;TRUE;golden;17;;1;1;Mon Dec 01 21:09:50 +0000 2014;5.40E+17;#AAPL OR @Apple;1;@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
623495528;FALSE;finalized;6;12/12/2014 15:50;3;0.4798;Mon Dec 01 21:29:45 +0000 2014;5.40E+17;#AAPL OR @Apple;;#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors
623495529;TRUE;golden;16;;1;0.9399;Mon Dec 01 21:35:14 +0000 2014;5.40E+17;#AAPL OR @Apple;1;WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
623495530;FALSE;finalized;3;12/12/2014 03:38;not_relevant;0.6904;Mon Dec 01 21:52:04 +0000 2014;5.40E+17;#AAPL OR @Apple;;@Apple John Cantlie has been a prisoner of ISIS for 739 days, show you have not abandoned him. Sign https://t.co/WTn4fuiJ0P
623495531;FALSE;finalized;3;12/12/2014 04:59;3;0.6621;Mon Dec 01 21:53:12 +0000 2014;5.40E+17;#AAPL OR @Apple;;@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?
623495532;FALSE;finalized;3;12/12/2014 20:59;3;1;Mon Dec 01 22:22:09 +0000 2014;5.40E+17;#AAPL OR @Apple;;Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3
623495533;FALSE;finalized;3;12/11/2014 20:31;not_relevant;1;Mon Dec 01 23:03:01 +0000 2014;5.40E+17;#AAPL OR @Apple;;$AAPL dip only momentarily....just an aberration in the equity world..#AAPL
623495534;FALSE;finalized;4;12/12/2014 08:36;3;0.7244;Mon Dec 01 23:12:40 +0000 2014;5.40E+17;#AAPL OR @Apple;;The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH
623495535;FALSE;finalized;3;12/12/2014 14:08;3;0.6552;Mon Dec 01 23:43:14 +0000 2014;5.40E+17;#AAPL OR @Apple;;@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
