customer_id;Year_Birth;Education;Marital_Status;Income;MntWines;MntFruits;MntMeatProducts;MntFishProducts;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth
4114;1964;Master;Married;79143.0;650;37;780;27;6;9;13;3
1331;1977;Graduation;Single;35790.0;12;6;20;30;2;0;3;7
2225;1977;Graduation;Divorced;82582.0;510;120;550;156;4;9;7;1
9381;1978;Graduation;Married;66373.0;328;9;124;12;4;2;10;3
6260;1955;Master;Together;82384.0;984;51;432;180;3;10;13;1
10383;1966;Graduation;Divorced;70287.0;295;35;482;121;5;5;10;3
7437;1988;Graduation;Single;27938.0;13;0;8;2;1;0;4;3
8557;1982;Graduation;Single;;11;3;22;2;2;0;3;6
8375;1968;PhD;Married;55954.0;447;0;28;0;8;2;6;7
6853;1982;Master;Single;75777.0;712;26;538;69;3;6;11;1
3076;1975;Graduation;Together;66653.0;452;18;102;16;4;2;12;3
1012;1952;Graduation;Single;61823.0;523;7;134;37;8;2;10;7
6518;1951;PhD;Widow;67680.0;546;0;48;0;7;3;8;5
4137;1948;Graduation;Together;70666.0;398;40;367;119;7;4;4;4
8082;1971;Graduation;Married;25721.0;1;3;6;3;1;1;2;7
1386;1967;Graduation;Together;32474.0;10;0;1;0;1;0;2;7
9369;1979;2n Cycle;Single;88194.0;688;14;309;201;11;10;10;5
4477;1958;Graduation;Together;69096.0;247;49;159;7;5;2;10;4
1357;1970;Graduation;Together;74854.0;856;59;487;58;2;5;5;5
1402;1954;Master;Married;66991.0;496;36;460;189;4;8;6;3
10629;1973;2n Cycle;Married;;25;3;43;17;3;0;3;8
6312;1959;Graduation;Married;65031.0;258;107;291;84;10;3;13;7
8132;1975;PhD;Married;60631.0;565;6;65;0;9;2;8;7
1050;1952;Graduation;Married;28332.0;14;10;13;4;2;1;4;2
5846;1977;Graduation;Divorced;40246.0;2;1;6;2;1;0;2;6
1859;1972;Master;Married;75251.0;721;111;925;97;7;6;5;5
7503;1976;Graduation;Single;75825.0;1032;105;779;137;5;8;9;4
10401;1976;2n Cycle;Together;26326.0;1;0;5;0;0;0;3;3
1618;1965;Graduation;Together;56046.0;577;0;64;0;10;1;8;8
3332;1985;Graduation;Single;29760.0;64;4;68;7;3;1;4;8
2261;1969;Graduation;Married;26304.0;4;1;5;2;1;0;2;7
5346;1973;2n Cycle;Married;23559.0;25;5;19;7;3;0;3;7
4119;1963;Master;Together;38620.0;112;17;44;34;2;5;3;3
535;1987;Graduation;Divorced;81361.0;163;23;424;27;3;10;13;1
5268;1960;Graduation;Married;29440.0;17;8;14;10;1;0;4;7
273;1970;Master;Married;36138.0;130;0;16;0;3;1;4;7
4452;1957;Graduation;Single;50388.0;292;6;37;0;6;1;6;7
8504;1973;Graduation;Married;79593.0;350;60;568;110;5;6;7;2
771;1967;Graduation;Together;54178.0;135;9;39;4;2;2;5;2
8996;1957;PhD;Married;;230;42;192;49;7;2;8;9
9235;1957;Graduation;Single;;7;0;8;2;1;0;2;7
5798;1973;Master;Together;;445;37;359;98;2;4;8;1
11178;1972;Master;Single;42394.0;15;2;10;0;1;0;3;7
2230;1970;PhD;Married;23626.0;27;2;14;0;3;1;3;5
7516;1983;Graduation;Married;30096.0;5;3;11;12;2;0;3;6
7247;1960;Graduation;Widow;47916.0;505;0;26;0;7;4;6;6
11100;1972;Graduation;Divorced;51813.0;51;2;7;0;2;0;3;7
4646;1951;2n Cycle;Married;78497.0;207;26;447;75;5;7;12;2
3037;1983;PhD;Married;50150.0;135;46;92;65;5;2;7;5
1473;1960;2n Cycle;Single;47823.0;53;1;5;2;2;0;3;8
1016;1959;PhD;Single;34554.0;41;1;6;2;2;0;3;6
4518;1979;Graduation;Together;85693.0;386;172;183;185;9;5;11;5
9370;1945;PhD;Married;65846.0;562;81;276;80;6;3;6;4
8908;1959;Graduation;Married;87195.0;217;76;690;50;3;11;5;1
8373;1979;Basic;Together;24594.0;1;3;6;10;1;0;3;5
7533;1964;Graduation;Married;49096.0;144;1;32;2;4;1;4;7
2683;1969;Graduation;Married;52413.0;295;106;271;75;6;4;12;6
3629;1978;Graduation;Single;38557.0;76;3;31;4;3;1;3;7
10991;1960;Master;Married;89058.0;454;194;106;31;5;4;4;2
5077;1979;Graduation;Together;77298.0;425;115;292;23;6;6;11;3
7431;1991;PhD;Single;68126.0;1332;17;311;23;7;4;5;9
3267;1963;Master;Together;57288.0;527;0;21;0;8;1;8;6
999;1991;Graduation;Single;86037.0;490;44;125;29;6;7;11;3
9215;1980;PhD;Married;43974.0;378;0;101;0;6;4;6;7
2286;1962;Graduation;Single;50785.0;64;1;21;0;2;1;3;6
1592;1970;Graduation;Married;90765.0;547;99;812;151;4;6;5;1
367;1978;2n Cycle;Married;36550.0;47;90;94;123;9;1;5;9
5234;1967;2n Cycle;Together;30753.0;12;5;25;0;1;1;3;5
9862;1969;Graduation;Together;21918.0;1;6;7;11;2;0;3;6
9805;1953;Master;Together;56129.0;320;48;133;39;6;2;10;4
6205;1967;Master;Single;32557.0;34;3;29;0;2;1;3;5
8442;1985;Master;Married;19510.0;9;0;7;3;1;0;3;7
7386;1976;Graduation;Divorced;30992.0;17;0;14;7;1;0;3;7
7215;1983;Graduation;Single;101970.0;722;27;102;44;6;8;13;2
1491;1965;2n Cycle;Together;71488.0;162;33;124;40;3;4;7;1
11071;1984;Graduation;Single;79607.0;450;133;951;173;3;6;6;1
3381;1953;Master;Married;54348.0;70;0;16;0;2;0;4;6
8268;1961;PhD;Married;;352;0;27;10;6;1;7;6
11051;1956;PhD;Together;77376.0;492;19;110;16;6;3;10;4
8026;1952;Graduation;Married;62998.0;120;58;73;65;5;4;5;5
433;1958;Master;Alone;61331.0;534;5;47;0;11;1;6;8
9597;1969;Graduation;Married;73448.0;236;106;189;23;7;2;9;4
1295;1963;Graduation;Married;;231;65;196;38;6;5;7;4
5290;1964;PhD;Married;41551.0;220;0;33;3;5;1;5;8
1685;1967;PhD;Together;62981.0;796;14;590;38;4;5;13;3
5342;1976;Basic;Divorced;9548.0;0;1;3;10;1;0;3;8
9579;1959;PhD;Married;33762.0;53;1;34;2;2;2;2;8
7660;1973;PhD;Alone;35860.0;15;0;8;4;1;1;2;5
1461;1965;PhD;Divorced;36921.0;17;1;12;3;2;0;3;7
821;1992;Master;Single;92859.0;962;61;921;52;5;4;12;2
11084;1976;Master;Together;65104.0;738;0;232;13;3;5;7;7
8690;1962;Graduation;Married;86111.0;399;28;756;36;5;7;10;2
2937;1974;PhD;Single;68352.0;614;16;132;43;8;5;9;6
9701;1988;Graduation;Together;41883.0;32;34;41;73;4;2;3;7
9949;1976;Graduation;Married;59809.0;598;16;141;32;3;3;6;8
10837;1975;Graduation;Married;23957.0;2;1;18;20;2;0;3;6
3120;1981;Graduation;Together;38547.0;6;1;10;0;1;0;2;8
5885;1973;2n Cycle;Married;35688.0;73;3;90;12;4;1;4;8
4050;1966;Master;Married;49605.0;42;16;29;12;2;1;4;3
3830;1953;Master;Married;59354.0;295;21;78;39;4;4;7;3
7987;1969;Graduation;Married;65747.0;346;17;48;23;8;1;6;6
7798;1972;2n Cycle;Together;46344.0;233;20;57;8;7;1;5;7
92;1988;Graduation;Alone;34176.0;5;7;24;19;3;0;4;6
7055;1952;PhD;Together;61010.0;888;0;57;0;8;5;11;5
10240;1949;Graduation;Together;69372.0;997;26;269;34;10;4;6;4
3025;1958;Graduation;Single;49967.0;212;6;69;4;6;1;5;7
9283;1978;Graduation;Single;60199.0;8;1;7;2;0;0;3;4
9970;1977;Graduation;Together;55375.0;42;11;57;10;1;1;6;2
2730;1955;Graduation;Single;80317.0;536;11;387;149;3;4;10;1
2795;1958;Master;Single;30523.0;5;0;3;0;1;0;2;7
9260;1945;PhD;Married;70356.0;1349;16;249;43;10;6;9;6
8182;1984;Graduation;Married;23228.0;53;3;49;7;3;0;4;8
10095;1975;PhD;Divorced;74165.0;1001;12;240;16;5;4;10;2
8475;1973;PhD;Married;157243.0;20;2;1582;1;0;22;0;0
4370;1966;Graduation;Together;43482.0;18;1;32;6;2;0;4;6
10573;1953;Graduation;Divorced;62551.0;125;16;98;134;6;7;4;3
3712;1959;Graduation;Divorced;52332.0;212;5;33;7;3;2;6;4
6637;1988;Graduation;Single;66951.0;277;162;305;173;3;4;7;1
3152;1957;Graduation;Together;26091.0;15;10;19;8;2;1;3;5
5610;1965;Graduation;Together;33456.0;7;3;10;8;1;0;3;7
6460;1982;Graduation;Married;28718.0;12;4;6;11;2;0;3;8
1349;1970;Graduation;Married;50447.0;85;7;24;2;3;1;3;6
1880;1959;PhD;Together;53537.0;81;0;6;0;2;1;3;5
641;1967;Graduation;Single;52074.0;59;0;12;0;2;2;2;4
8717;1975;PhD;Married;80427.0;1149;71;449;69;11;8;8;5
10314;1948;PhD;Married;83837.0;847;66;119;86;9;10;5;4
10854;1970;PhD;Married;38853.0;29;0;14;0;2;0;3;7
10492;1959;Graduation;Together;38285.0;2;0;5;2;0;0;3;2
6935;1951;2n Cycle;Married;78497.0;207;26;447;75;5;7;12;2
7698;1976;PhD;Married;51650.0;152;3;22;2;4;1;4;5
3559;1988;2n Cycle;Married;16248.0;12;11;10;3;2;1;3;6
10562;1946;Master;Married;66835.0;620;26;195;34;6;4;13;2
10796;1984;Master;Married;30477.0;47;1;6;0;1;1;3;6
2563;1961;Basic;Married;28249.0;1;9;7;2;2;0;3;6
3518;1983;Graduation;Married;25271.0;10;1;18;10;1;1;2;9
5823;1970;PhD;Single;32303.0;35;0;2;0;1;0;4;5
3934;1966;Graduation;Married;61286.0;356;0;107;19;7;1;8;5
6982;1976;Graduation;Married;74068.0;783;30;537;140;4;10;9;2
6431;1964;PhD;Married;45759.0;42;1;18;3;2;0;3;7
9733;1978;Basic;Together;24882.0;1;4;10;29;1;1;2;6
5602;1989;PhD;Together;66973.0;466;22;432;147;8;7;12;3
7829;1900;2n Cycle;Divorced;36640.0;15;6;8;7;2;1;2;5
1324;1988;Graduation;Married;38872.0;23;3;21;3;3;0;3;8
326;1973;Graduation;Married;51148.0;235;6;45;8;5;1;6;6
7224;1977;Graduation;Married;31353.0;10;0;10;3;1;1;2;8
6999;1980;Master;Married;69661.0;656;16;106;32;7;3;12;3
9938;1954;Graduation;Married;80067.0;519;17;813;27;4;6;6;2
6422;1954;Graduation;Married;86718.0;344;189;482;50;5;6;5;2
3182;1973;PhD;Single;46854.0;96;1;79;7;5;1;3;8
7300;1952;Graduation;Divorced;69142.0;448;4;34;6;8;1;7;5
10424;1968;Graduation;Single;75922.0;265;138;553;224;4;4;9;1
8727;1978;Graduation;Divorced;63693.0;587;43;337;42;11;6;9;6
2798;1977;PhD;Together;102160.0;763;29;138;76;7;9;10;4
1030;1965;PhD;Single;40637.0;22;0;13;0;1;0;3;7
624;1984;Master;Single;18890.0;6;4;1;7;0;1;2;6
5176;1988;Graduation;Together;29604.0;7;6;13;7;1;0;3;9
5552;1963;Master;Divorced;48721.0;81;18;113;47;4;2;5;6
868;1966;Graduation;Married;44794.0;54;0;7;0;2;0;3;6
380;1954;Graduation;Divorced;64497.0;1170;48;320;42;11;4;9;8
2677;1956;Graduation;Together;46097.0;72;24;68;65;3;1;6;4
6521;1954;Graduation;Together;77972.0;613;22;319;33;4;6;9;1
6927;1968;PhD;Married;44377.0;224;0;30;0;5;1;5;8
2877;1974;Master;Together;46014.0;410;0;59;19;7;1;8;7
0;1985;Graduation;Married;70951.0;239;10;554;254;3;4;9;1
1584;1977;Graduation;Married;41443.0;171;7;171;25;8;1;5;8
7264;1978;2n Cycle;Single;52195.0;12;0;4;0;1;0;2;8
6274;1948;Master;Married;83790.0;1076;16;417;42;8;10;6;3
1377;1954;Master;Widow;44551.0;182;4;33;0;4;1;5;7
454;1980;Graduation;Together;69508.0;824;32;162;42;11;4;11;6
1755;1988;2n Cycle;Together;45204.0;30;11;25;29;1;1;4;3
2075;1969;Graduation;Married;72460.0;377;10;540;80;3;5;7;1
4785;1970;PhD;Together;77622.0;520;7;154;19;6;3;11;3
9076;1980;PhD;Married;30732.0;155;1;25;0;4;1;4;8
7079;1962;Graduation;Divorced;63887.0;897;23;207;15;9;6;12;6
4653;1978;Graduation;Together;42011.0;131;0;16;2;3;1;4;8
7375;1976;Graduation;Together;51369.0;297;7;79;0;8;2;4;8
709;1952;Graduation;Divorced;51537.0;787;20;204;0;2;2;11;8
460;1972;PhD;Married;79930.0;792;86;740;67;3;5;8;2
3726;1986;PhD;Together;34320.0;4;1;9;3;1;0;2;8
6798;1966;Graduation;Single;37070.0;231;7;137;4;5;1;8;7
5341;1962;2n Cycle;Divorced;81975.0;983;76;184;180;6;3;4;7
1606;1971;Graduation;Together;38590.0;3;1;8;4;1;0;2;8
9617;1951;Graduation;Single;15033.0;0;4;5;6;1;0;3;3
3233;1965;PhD;Married;62745.0;562;21;464;28;7;8;11;5
89;1975;2n Cycle;Married;22212.0;5;9;20;6;2;0;4;6
2936;1982;Master;Together;23661.0;18;0;4;0;1;0;3;7
9449;1958;PhD;Single;79761.0;415;5;124;15;5;2;11;3
7297;1973;Graduation;Single;7500.0;5;3;10;12;3;1;3;7
11004;1893;2n Cycle;Single;60182.0;8;0;5;7;1;0;2;4
313;1968;Graduation;Widow;73455.0;901;61;757;186;6;5;10;3
9940;1958;Graduation;Together;64961.0;382;114;276;75;6;4;4;3
10735;1971;Graduation;Single;22804.0;14;1;7;2;2;0;2;9
9529;1990;Graduation;Married;73687.0;559;153;503;218;3;9;9;2
6439;1958;Graduation;Married;61074.0;789;0;133;0;11;5;8;7
7411;1964;PhD;Married;31686.0;11;0;5;0;1;0;3;6
2176;1972;Graduation;Married;80134.0;1218;16;272;104;5;3;6;6
9265;1953;Graduation;Married;75027.0;925;64;179;133;9;4;6;5
8867;1988;PhD;Married;67546.0;864;134;768;150;4;10;5;3
8932;1969;Master;Together;65176.0;960;28;183;220;9;6;6;6
10236;1975;Master;Single;31160.0;16;3;25;6;2;0;3;8
6340;1985;Graduation;Single;29938.0;3;3;7;0;1;0;3;6
10089;1974;Graduation;Divorced;102692.0;168;148;444;32;6;9;13;2
2227;1958;2n Cycle;Together;26490.0;45;47;52;21;3;1;5;6
10992;1967;Graduation;Together;75702.0;650;28;353;45;4;6;11;8
5304;1974;PhD;Single;30899.0;24;0;8;0;1;0;3;6
309;1961;PhD;Together;63342.0;918;21;118;13;8;3;5;6
3406;1964;Graduation;Single;45989.0;138;33;87;28;3;2;7;3
2661;1964;Graduation;Single;18701.0;12;4;2;10;2;0;4;5
3153;1957;PhD;Single;40737.0;11;0;4;0;1;0;2;8
10264;1979;Graduation;Divorced;15287.0;1;2;8;4;1;1;2;7
1184;1968;PhD;Divorced;69674.0;554;41;215;11;10;2;10;5
4200;1970;Master;Married;44159.0;167;2;62;24;4;1;6;5
9396;1978;PhD;Married;37717.0;9;0;6;4;1;0;2;9
2387;1952;Master;Together;43776.0;177;2;71;3;5;2;4;8
6690;1966;Master;Married;38179.0;38;4;22;4;3;1;3;7
1225;1963;Graduation;Married;80124.0;483;84;398;205;3;7;8;1
9703;1970;PhD;Married;38097.0;77;2;35;0;3;2;2;7
291;1970;Graduation;Married;72940.0;182;74;298;162;3;3;6;1
4557;1970;Graduation;Together;22070.0;10;7;19;8;2;2;2;6
2379;1953;Graduation;Single;69267.0;778;44;499;95;3;4;5;7
5726;1983;Master;Single;31788.0;16;7;23;0;3;0;4;5
3066;1975;PhD;Together;61905.0;167;0;43;6;4;2;4;5
6336;1960;Graduation;Married;29315.0;13;2;14;8;2;0;4;6
10967;1963;Graduation;Divorced;33378.0;33;6;40;3;2;0;4;7
2304;1963;PhD;Together;66313.0;625;7;99;10;6;3;12;4
3445;1956;Graduation;Single;60714.0;216;162;224;101;7;4;10;5
7828;1981;Master;Together;77882.0;68;129;396;188;3;3;5;1
3762;1986;PhD;Single;69867.0;196;0;512;33;3;5;8;1
4391;1968;Master;Divorced;63841.0;635;15;100;20;9;3;9;6
4669;1981;Basic;Married;24480.0;4;19;9;28;3;0;4;7
10144;1976;Graduation;Together;51369.0;297;7;79;0;8;2;4;8
8652;1946;Graduation;Together;37760.0;84;5;38;150;4;1;6;7
1672;1974;PhD;Together;65640.0;204;7;149;20;5;1;8;2
8962;1975;Master;Married;44319.0;26;0;8;0;2;0;3;5
9974;1974;Graduation;Married;30631.0;15;6;20;4;3;1;2;7
10983;1952;Graduation;Together;75278.0;304;98;230;150;6;3;13;3
8148;1956;Master;Together;50898.0;285;28;242;55;6;2;12;5
10102;1966;Graduation;Widow;79946.0;395;183;565;166;5;11;5;3
4697;1949;Master;Divorced;35416.0;248;3;81;4;7;1;5;8
9262;1984;2n Cycle;Together;32414.0;20;6;5;0;1;0;3;7
7254;1969;Graduation;Together;38361.0;39;0;56;20;3;1;3;7
4543;1980;Graduation;Married;82497.0;777;129;573;216;2;7;9;4
4927;1971;Graduation;Together;16626.0;8;3;22;21;3;0;3;9
10451;1965;Graduation;Together;29672.0;9;1;3;0;0;0;3;6
2926;1952;Master;Together;55951.0;1241;0;80;0;3;6;11;8
2874;1988;2n Cycle;Divorced;35388.0;6;4;7;4;1;0;3;7
9738;1986;Master;Together;42386.0;65;4;16;0;3;0;3;8
7119;1982;Graduation;Single;68627.0;395;15;263;60;2;3;6;1
3924;1965;PhD;Divorced;57912.0;801;0;80;0;8;3;12;5
5827;1958;Graduation;Divorced;35246.0;36;0;12;2;3;1;3;5
5596;1956;2n Cycle;Together;58821.0;513;14;154;19;9;2;9;6
10812;1978;PhD;Married;46377.0;37;0;46;4;2;1;3;4
1717;1988;Graduation;Single;39747.0;80;15;93;20;5;1;4;8
9491;1984;Graduation;Together;23976.0;14;1;21;2;3;1;3;7
9274;1961;Master;Married;80950.0;525;147;112;219;6;7;9;2
6609;1966;Graduation;Widow;27038.0;1;26;25;17;3;0;3;9
6963;1947;Graduation;Single;77457.0;675;11;400;15;2;5;10;1
4440;1964;Master;Married;64100.0;509;0;27;0;8;3;6;7
1379;1992;Master;Together;42670.0;154;2;46;20;4;2;4;4
10032;1976;Graduation;Divorced;12571.0;3;5;14;2;3;1;3;6
2826;1967;Graduation;Married;22574.0;25;0;8;2;2;0;3;7
2437;1989;Graduation;Married;;861;138;461;60;6;5;12;3
6320;1976;Master;Single;70893.0;768;44;561;77;6;6;10;3
3050;1966;Graduation;Married;54198.0;185;0;28;3;3;1;6;4
231;1956;Master;Together;28839.0;24;0;7;0;2;0;3;5
2392;1972;Graduation;Married;40321.0;44;4;21;6;3;0;3;7
9478;1985;Graduation;Single;66503.0;91;64;128;65;4;3;6;3
113;1951;Graduation;Married;30833.0;11;0;7;3;1;0;3;5
2863;1970;Graduation;Single;;738;20;172;52;2;3;10;7
1802;1971;Graduation;Married;64795.0;412;5;119;38;3;3;12;2
520;1974;Graduation;Married;34421.0;3;3;7;6;1;0;2;7
8275;1965;PhD;Divorced;47025.0;16;0;3;0;1;0;2;7
9750;1961;PhD;Divorced;64325.0;731;60;353;78;10;3;5;7
2607;1953;Graduation;Single;40464.0;424;17;118;7;8;2;8;8
7214;1957;Graduation;Married;62187.0;792;0;275;45;4;8;5;3
5835;1976;PhD;Divorced;14849.0;21;2;28;3;2;0;4;8
3896;1984;Graduation;Married;27255.0;22;1;11;0;1;0;3;7
10350;1950;PhD;Married;54432.0;33;0;5;0;1;0;3;4
7786;1986;PhD;Single;29999.0;68;7;59;10;3;1;4;8
2861;1983;Graduation;Single;24072.0;9;1;6;3;1;0;2;8
663;1989;PhD;Single;33996.0;40;2;15;8;1;1;3;4
10675;1956;PhD;Married;66334.0;909;11;218;0;9;3;5;5
2521;1971;Master;Married;35178.0;23;1;13;2;1;1;2;7
9592;1983;Graduation;Together;22010.0;11;2;9;3;2;0;3;8
10151;1960;Graduation;Divorced;62204.0;317;46;247;151;4;5;12;3
7381;1968;Graduation;Divorced;75693.0;797;153;293;72;11;4;6;4
4099;1972;Graduation;Married;30675.0;10;2;16;11;1;0;3;8
9560;1965;Graduation;Together;83003.0;856;61;570;40;7;6;8;3
1150;1899;PhD;Together;83532.0;755;144;562;104;4;6;4;1
10172;1988;Graduation;Single;68655.0;456;19;832;75;4;5;11;3
11191;1986;Graduation;Divorced;41411.0;37;32;38;11;2;1;4;6
9707;1969;PhD;Married;55212.0;1103;0;45;0;4;2;11;8
6245;1950;PhD;Together;59292.0;378;14;68;19;3;5;8;3
8234;1973;Basic;Together;27190.0;1;6;7;0;1;0;2;8
1411;1952;Graduation;Divorced;82623.0;204;34;204;172;2;9;4;1
8553;1965;Graduation;Married;44300.0;30;0;9;0;1;0;3;6
1826;1970;Graduation;Divorced;84835.0;189;104;379;111;4;4;6;1
8842;1971;Graduation;Widow;30372.0;15;0;12;7;2;0;3;7
11030;1976;Master;Married;33181.0;9;0;3;0;1;0;2;6
2579;1957;Graduation;Married;71113.0;495;33;255;11;6;7;9;4
175;1986;Graduation;Married;71952.0;656;80;455;52;8;4;8;4
9185;1966;PhD;Single;69759.0;452;20;514;13;4;6;5;3
11056;1974;Graduation;Married;72099.0;546;91;410;119;3;4;10;1
9365;1976;PhD;Single;60000.0;1048;0;217;0;11;3;5;6
6201;1978;Graduation;Single;38643.0;22;2;14;0;2;0;3;7
2061;1955;Graduation;Married;50737.0;78;0;11;0;2;0;4;6
6184;1969;PhD;Married;68462.0;561;64;785;84;3;3;8;1
6142;1943;Master;Married;65073.0;629;17;177;69;5;3;5;2
4107;1948;PhD;Together;46681.0;269;15;69;15;4;6;4;5
7274;1957;Graduation;Married;78618.0;736;163;818;212;4;7;10;2
9336;1969;PhD;Widow;62187.0;512;0;83;0;6;2;10;4
2958;1978;Graduation;Married;28442.0;19;3;10;11;2;1;4;4
933;1978;PhD;Married;37717.0;9;0;6;4;1;0;2;9
5837;1967;Graduation;Married;51479.0;247;8;160;6;6;3;6;7
10704;1969;Graduation;Single;54803.0;404;0;92;28;6;2;9;4
5125;1960;Graduation;Married;79530.0;333;0;815;129;4;10;11;2
4432;1976;Graduation;Divorced;31615.0;2;3;20;6;2;0;3;7
5955;1962;Graduation;Together;72025.0;833;33;549;151;4;3;8;3
2928;1975;PhD;Single;52614.0;789;0;142;12;2;4;8;8
5680;1984;2n Cycle;Married;35684.0;10;4;7;0;1;0;3;6
10313;1975;Graduation;Married;48178.0;159;4;45;6;5;1;4;8
2557;1970;Master;Single;29548.0;7;1;6;3;1;1;2;4
1245;1966;Graduation;Single;63810.0;977;12;253;16;4;3;12;8
1519;1972;PhD;Single;38578.0;38;4;22;3;3;0;3;8
10703;1975;Master;Single;46098.0;57;0;27;0;3;2;2;8
1726;1970;Graduation;Single;22585.0;3;9;15;13;1;1;2;9
4459;1989;Graduation;Single;30279.0;10;4;14;4;1;0;3;8
1729;1961;PhD;Together;66426.0;1043;24;97;32;3;5;10;6
1517;1969;Graduation;Single;30822.0;3;9;13;2;1;0;3;7
2098;1969;PhD;Married;33581.0;11;0;5;0;1;0;2;8
9543;1985;Graduation;Married;19986.0;3;6;5;0;0;0;3;7
6878;1954;Graduation;Widow;27421.0;43;12;96;78;4;1;6;7
3310;1973;2n Cycle;Married;35688.0;73;3;90;12;4;1;4;8
2724;1981;Master;Single;36143.0;12;0;1;0;0;1;2;3
948;1971;Graduation;Single;10245.0;4;7;7;6;1;2;2;5
6720;1968;Master;Together;43795.0;314;11;53;4;7;3;4;7
6202;1960;Graduation;Together;63381.0;571;50;142;33;4;5;13;2
2066;1949;Graduation;Together;38823.0;70;0;11;2;2;1;3;6
9799;1968;PhD;Divorced;83664.0;866;21;151;28;2;2;12;5
8318;1979;Graduation;Together;90300.0;594;134;786;33;5;6;8;1
5642;1979;Master;Together;62499.0;140;4;61;0;3;1;6;4
2669;1993;Graduation;Single;74293.0;375;152;335;93;5;4;6;2
455;1946;PhD;Married;51012.0;102;9;63;2;4;1;4;6
7683;1968;Master;Married;70777.0;554;35;113;0;5;3;12;3
3428;1991;PhD;Together;68682.0;919;0;505;99;4;9;10;2
7414;1971;Graduation;Married;43824.0;96;1;42;12;3;1;4;8
6354;1984;Graduation;Together;15345.0;5;2;16;3;1;1;2;8
